"objectID";"parcelID";"parcelNumber";"shapeLength";"shapeArea";"geometry";"owner";"parish";"municipality";"island"
"1";"7343148";"2996240000000";"57.2469341921808";"202.05981432070362";"MULTIPOLYGON (((299218.5203999998 3623637.4791, 299218.5033999998 3623637.4715, 299218.04000000004 3623638.4800000004, 299232.7400000002 3623644.6799999997, 299236.6233999999 3623637.1974, 299236.93709999975 3623636.7885999996, 299238.04000000004 3623633.4800000004, 299222.63999999966 3623627.1799999997, 299218.5203999998 3623637.4791)))";"93";"Arco da Calheta";"Calheta";"Ilha da Madeira (Madeira)"
"138";"7350213";"2976220000000";"77.88483961099904";"235.38846544564066";"MULTIPOLYGON (((297438.841 3622000.3060999997, 297445.55709999986 3621998.4744000006, 297443.96999999974 3621985.4800000004, 297441.96999999974 3621976.58, 297423.5700000003 3621988.380000001, 297425.3700000001 3621992.1799999997, 297434.76999999955 3621988.4800000004, 297438.46999999974 3621998.08, 297438.841 3622000.3060999997)))";"93";"Arco da Calheta";"Calheta";"Ilha da Madeira (Madeira)"
"183";"7343448";"2986240000000";"147.11373668325768";"698.8726677948932";"MULTIPOLYGON (((298493.92080000043 3623546.9681, 298491.8799999999 3623542.33, 298494.5800000001 3623540.0299999993, 298500.98000000045 3623538.7300000004, 298503.7768000001 3623537.578400001, 298505.80759999994 3623538.1755999997, 298506.2944 3623536.1337, 298512.68840000033 3623509.3143000007, 298505.4874999998 3623504.685900001, 298499.02880000044 3623499.8244000003, 298499.0069000004 3623499.8079000004, 298499.0099999998 3623499.8000000007, 298498.89109999966 3623499.7206999995, 298498.0876000002 3623499.1159000006, 298498.06120000035 3623499.1675000004, 298497.89240000024 3623499.0549999997, 298497.9349999996 3623498.975400001, 298495.39639999997 3623497.898499999, 298494.7427000003 3623497.621099999, 298494.75 3623497.7200000007, 298492.9941999996 3623510.842599999, 298493.0499999998 3623510.83, 298489.6500000004 3623548.33, 298495.926 3623553.0845, 298496.3256000001 3623552.5516, 298496.3865 3623552.5999999996, 298497.6286000004 3623550.8957, 298497.6799999997 3623550.9299999997, 298500.6799999997 3623548.0299999993, 298499.1799999997 3623545.630000001, 298498.12179999985 3623546.225299999, 298497.40770000033 3623544.9756000005, 298493.92080000043 3623546.9681)))";"93";"Arco da Calheta";"Calheta";"Ilha da Madeira (Madeira)"
"241";"10042808";"2986220000000";"66.57824258154812";"188.75810962655797";"MULTIPOLYGON (((298066.1584000001 3622483.8597, 298066.1584000001 3622489.1777, 298066.1584000001 3622491.3836000003, 298066.34580000024 3622491.3702000007, 298066.5599999996 3622493.0299999993, 298079.5599999996 3622491.2300000004, 298092.2599999998 3622490.2300000004, 298092.2599999998 3622489.519200001, 298092.38150000013 3622489.510500001, 298091.36000000034 3622484.33, 298066.36000000034 3622483.9299999997, 298066.1584000001 3622483.8597)))";"93";"Arco da Calheta";"Calheta";"Ilha da Madeira (Madeira)"
"245";"20344332";"2996230000000";"86.27957565826101";"262.63491008437444";"MULTIPOLYGON (((298732.72589999996 3623871.476, 298731.96999999974 3623872.119999999, 298731.46999999974 3623873.3200000003, 298741.8700000001 3623881.42, 298742.1699999999 3623880.8200000003, 298742.17260000017 3623880.8112000003, 298742.2407999998 3623880.871200001, 298744.2253999999 3623877.2248, 298746.45469999965 3623872.990599999, 298750.1699999999 3623865.119999999, 298753.5700000003 3623858.5199999996, 298758.0700000003 3623850.619999999, 298758.10819999967 3623850.7687999997, 298758.2159000002 3623849.982000001, 298758.11000000034 3623850.0999999996, 298757.1704000002 3623848.9218000006, 298749.1699999999 3623856.3200000003, 298735.99899999984 3623868.6878999993, 298734.26099999994 3623870.168400001, 298732.72589999996 3623871.476)))";"93";"Arco da Calheta";"Calheta";"Ilha da Madeira (Madeira)"
"277";"7351286";"2996220000000";"145.6956600007232";"1106.0322274325185";"MULTIPOLYGON (((299093.9095999999 3621512.4681, 299087.5296 3621518.8881, 299083.9397 3621524.9781, 299081.2759999996 3621529.5051000006, 299080.76999999955 3621533.6799999997, 299080.76999999955 3621538.880000001, 299082.1699999999 3621545.2799999993, 299083.76999999955 3621551.08, 299086.76999999955 3621554.2799999993, 299090.3700000001 3621556.4800000004, 299095.5700000003 3621559.08, 299096.01400000043 3621559.4056, 299127.6656999998 3621537.3531, 299115.5050999997 3621532.134299999, 299115.65380000044 3621531.7261999995, 299113.9639999997 3621531.1093000006, 299113.96999999974 3621531.08, 299107.8570999997 3621528.440300001, 299105.1699999999 3621527.2799999993, 299098.76999999955 3621527.2799999993, 299097.6606999999 3621517.9899000004, 299097.1699999999 3621513.880000001, 299094.1699999999 3621512.6799999997, 299094.0502000004 3621512.8387, 299093.9095999999 3621512.4681)))";"93";"Arco da Calheta";"Calheta";"Ilha da Madeira (Madeira)"
"437";"20965824";"2986220000000";"111.522483971083";"617.5400109975052";"MULTIPOLYGON (((298012.95019999985 3621801.9058999997, 298010.61000000034 3621811.960000001, 298035.11000000034 3621816.76, 298037.20999999996 3621808.8599999994, 298030.8099999996 3621805.5600000005, 298026.91000000015 3621782.26, 298013.91000000015 3621784.0600000005, 298006.70999999996 3621797.16, 298006.9435999999 3621797.2732999995, 298007.0099999998 3621797.2300000004, 298013.5099999998 3621800.4299999997, 298012.95019999985 3621801.9058999997)))";"93";"Arco da Calheta";"Calheta";"Ilha da Madeira (Madeira)"
"452";"7351171";"2986210000000";"158.26591348379753";"1460.2400617151436";"MULTIPOLYGON (((298005.4199999999 3621605, 298006.6200000001 3621605.0999999996, 298006.6816999996 3621595.4042000007, 298006.8797000004 3621564.270199999, 298006.88129999954 3621564.2192, 297977.35720000044 3621547.0217000004, 297976.4500000002 3621553.0999999996, 297975.2000000002 3621564.3000000007, 297973.5499999998 3621581.3499999996, 297972.4000000004 3621593.8000000007, 297972.79000000004 3621594.1899999995, 297980.6200000001 3621596.8000000007, 297993.6200000001 3621601.5, 298001.8300000001 3621604.3100000005, 298001.83050000016 3621604.3072999995, 298005.4199999999 3621605)))";"93";"Arco da Calheta";"Calheta";"Ilha da Madeira (Madeira)"
"520";"16637812";"2986220000000";"67.1171405045778";"233.30498877722084";"MULTIPOLYGON (((298480.6644000001 3621855.5770999994, 298491.70129999984 3621875.0755000003, 298502.56680000015 3621871.6898999996, 298495.37540000025 3621861.1942, 298492.77080000006 3621857.392999999, 298488.8542999998 3621851.677100001, 298480.6644000001 3621855.5770999994)))";"93";"Arco da Calheta";"Calheta";"Ilha da Madeira (Madeira)"
"527";"7351443";"2986210000000";"101.76146521608523";"639.0042804850754";"MULTIPOLYGON (((297823.26570000034 3621511.3224, 297838.66000000015 3621492.3499999996, 297837.3992999997 3621491.2446, 297819.5963000003 3621475.635399999, 297817.5599999996 3621473.8499999996, 297816.89080000017 3621475.2640000004, 297816.88999999966 3621475.2699999996, 297811.16000000015 3621486.1500000004, 297805.3206000002 3621497.4459000006, 297823.26570000034 3621511.3224)))";"93";"Arco da Calheta";"Calheta";"Ilha da Madeira (Madeira)"
"595";"7343637";"2986240000000";"98.22850069182721";"395.96139096825993";"MULTIPOLYGON (((298528.54279999994 3623634.6335000005, 298529.3230999997 3623634.4351000004, 298539.11760000046 3623631.9449000005, 298538.93200000003 3623631.114, 298537.7226 3623625.6977999993, 298538.0700000003 3623623.6999999993, 298538.0700000003 3623621.9000000004, 298538.0566999996 3623621.8352000006, 298535.76999999955 3623610.6999999993, 298534.92920000013 3623610.719900001, 298528.9463999998 3623610.861199999, 298523.4156999998 3623610.991800001, 298523.4335000003 3623611.074100001, 298523.0840999996 3623611.1129, 298523.01999999955 3623611.119999999, 298523.15270000044 3623611.661699999, 298525.46999999974 3623621.119999999, 298524.54580000043 3623621.2939, 298523.0379999997 3623621.5776000004, 298517.3733000001 3623622.6434000004, 298511.3225999996 3623623.7819, 298513.9614000004 3623632.6066999994, 298526.4014999997 3623629.906199999, 298527.46740000043 3623629.674799999, 298528.54279999994 3623634.6335000005)))";"93";"Arco da Calheta";"Calheta";"Ilha da Madeira (Madeira)"
"816";"7351573";"2986210000000";"107.54272704673244";"230.53500165194887";"MULTIPOLYGON (((298078.47809999995 3621455.2349999994, 298080.3499999996 3621455.8200000003, 298084.9500000002 3621457.3200000003, 298090.35450000037 3621450.6381, 298084.8233000003 3621446.0688000005, 298077.7581000002 3621442.3826, 298071.90660000034 3621440.3926, 298065.5516999997 3621439.3742999993, 298062.4746000003 3621441.1180000007, 298061.68379999977 3621440.9060999993, 298060.0502000004 3621441.927100001, 298057.30289999954 3621443.644099999, 298055.1052000001 3621447.4308, 298054.1162999999 3621454.0627999995, 298054.09020000044 3621454.2375000007, 298058.75 3621454.8200000003, 298060.0499999998 3621444.7200000007, 298062.0499999998 3621443.8200000003, 298066.0499999998 3621444.0199999996, 298077.1500000004 3621446.92, 298080.1699999999 3621447.42, 298078.47809999995 3621455.2349999994)))";"93";"Arco da Calheta";"Calheta";"Ilha da Madeira (Madeira)"
"878";"7352142";"2996200000000";"87.5359599012521";"264.46153639455395";"MULTIPOLYGON (((298718.4737 3620843.4033000004, 298718.6699999999 3620843.6099999994, 298716.76999999955 3620847.01, 298721.0700000003 3620850.8100000005, 298724.0415000003 3620847.8385000005, 298723.9939000001 3620847.7672000006, 298724.0440999996 3620847.6689999998, 298724.0700000003 3620847.8100000005, 298729.6699999999 3620838.01, 298741.0700000003 3620824.1099999994, 298741.6975999996 3620823.2410000004, 298742.8700000001 3620822.01, 298741.49629999977 3620820.5447000004, 298741.4653000003 3620820.5742000006, 298737.0508000003 3620816.6777, 298736.1699999999 3620819.3200000003, 298730.76999999955 3620823.7200000007, 298726.76999999955 3620829.119999999, 298723.26999999955 3620834.7200000007, 298720.1699999999 3620841.619999999, 298718.4737 3620843.4033000004)))";"93";"Arco da Calheta";"Calheta";"Ilha da Madeira (Madeira)"
"899";"20788044";"2986220000000";"93.76175398893143";"235.4382999828838";"MULTIPOLYGON (((298326.3200000003 3621557.0500000007, 298318.9199999999 3621571.25, 298329.71999999974 3621576.6500000004, 298334.38999999966 3621563.869999999, 298349.0800000001 3621569.4299999997, 298350.71999999974 3621562.6500000004, 298345.9199999999 3621560.8499999996, 298344.3200000003 3621565.0500000007, 298335.1200000001 3621561.8499999996, 298326.3200000003 3621557.0500000007)))";"93";"Arco da Calheta";"Calheta";"Ilha da Madeira (Madeira)"
"976";"19999536";"2986240000000";"202.90524108079575";"1579.5393292878325";"MULTIPOLYGON (((298533.15890000015 3623772.1722, 298531.8837000001 3623777.804199999, 298545.11000000034 3623784.49, 298564.70999999996 3623792.6899999995, 298564.70999999996 3623793.7814000007, 298567.3200000003 3623775.3739, 298568.3114 3623768.3816, 298568.3876 3623767.8440000005, 298568.4494000003 3623766.331599999, 298576.7876000004 3623768.4439000003, 298576.8923000004 3623767.8813000005, 298578.91000000015 3623768.09, 298583.70999999996 3623761.6899999995, 298578.2070000004 3623760.8145000003, 298578.26159999985 3623760.5211999994, 298566.66309999954 3623758.8938999996, 298566.78890000004 3623757.7958000004, 298566.9634999996 3623756.2718, 298565.32490000036 3623756.0688000005, 298557.64169999957 3623755.1165999994, 298538.70409999974 3623752.7696, 298520.3099999996 3623750.49, 298516.11000000034 3623749.8900000006, 298515.66729999986 3623751.6240999997, 298515.63889999967 3623751.7349999994, 298511.3099999996 3623768.6899999995, 298516.35869999975 3623769.645199999, 298516.3498999998 3623769.696900001, 298517.42289999966 3623769.8465, 298518.70999999996 3623770.09, 298533.15890000015 3623772.1722)))";"93";"Arco da Calheta";"Calheta";"Ilha da Madeira (Madeira)"
"989";"7351263";"2986220000000";"216.6216228186431";"1378.3508227605366";"MULTIPOLYGON (((298480.01669999957 3621543.6944999993, 298477.6553999996 3621544.693499999, 298477.5695000002 3621544.6432000007, 298470.2938000001 3621553.779100001, 298470.4475999996 3621553.917300001, 298470.2400000002 3621553.9000000004, 298466.63999999966 3621559.5, 298484.5954 3621578.0253999997, 298485.54000000004 3621579, 298494.54000000004 3621570.1999999993, 298511.04000000004 3621554.9000000004, 298513.33999999985 3621551.5, 298513.7561999997 3621550.425899999, 298514.63999999966 3621545.3000000007, 298516.63999999966 3621538.8000000007, 298516.9400000004 3621533.4000000004, 298517.10390000045 3621533.3091, 298517.1991999997 3621532.8746000007, 298502.26999999955 3621528.0299999993, 298503.0499999998 3621521.6899999995, 298503.0510999998 3621521.6862000003, 298503.04980000015 3621521.6856999993, 298503.1310999999 3621518.8432, 298503.08999999985 3621518.9299999997, 298498.38999999966 3621517.0299999993, 298498.3783 3621516.8134000003, 298498.6387 3621516.8926999997, 298494.4900000002 3621515.2300000004, 298493.49370000046 3621517.032299999, 298487 3621528.7799999993, 298487.0033999998 3621528.7797999997, 298487.0025000004 3621528.7809999995, 298486.5744000003 3621529.3329000007, 298502.95999999996 3621537.9499999993, 298501.16000000015 3621541.3499999996, 298497.2599999998 3621539.6500000004, 298495.0599999996 3621543.3499999996, 298497.95999999996 3621545.25, 298496.66000000015 3621548.0500000007, 298493.7599999998 3621546.75, 298490.95999999996 3621550.6500000004, 298480.01669999957 3621543.6944999993)))";"93";"Arco da Calheta";"Calheta";"Ilha da Madeira (Madeira)"
"992";"7351676";"2996200000000";"402.3567833760845";"3141.253799943249";"MULTIPOLYGON (((298889.66789999977 3621308.3981999997, 298876.08999999985 3621316.8200000003, 298844.1900000004 3621338.8200000003, 298810.29000000004 3621345.2200000007, 298810.1805999996 3621345.3659000006, 298810.1358000003 3621345.219799999, 298806.48000000045 3621346.08, 298807.1886 3621351.9261000007, 298831.79949999973 3621349.2574000005, 298836.3200000003 3621348.2300000004, 298836.01999999955 3621356.33, 298835.77219999954 3621356.3850999996, 298836.0999999996 3621356.42, 298816.5999999996 3621362.119999999, 298793.0203999998 3621368.4442999996, 298795.1612999998 3621383.069599999, 298796.2949000001 3621399.0199999996, 298799.2104000002 3621396.1843999997, 298800.62129999977 3621392.8495000005, 298806.3811999997 3621380.6096, 298813.5811999999 3621373.7696, 298829.4210000001 3621368.0096000005, 298854.98089999985 3621360.0896000005, 298872.62069999985 3621355.7696, 298907.0377000002 3621347.9027999993, 298907.5405000001 3621348.2095999997, 298913.30040000007 3621347.1295999996, 298915.8203999996 3621345.3296000008, 298912.02579999994 3621338.565300001, 298902.3200000003 3621335.33, 298900.8200000003 3621317.33, 298890.62310000043 3621311.665100001, 298890.15469999984 3621311.878900001, 298889.9335000003 3621309.7403999995, 298889.88999999966 3621309.3200000003, 298889.85030000005 3621309.3343, 298889.82749999966 3621309.2172999997, 298889.66789999977 3621308.3981999997)))";"93";"Arco da Calheta";"Calheta";"Ilha da Madeira (Madeira)"
"1506";"7336189";"2976240000000";"93.93464188305408";"241.41931621499452";"MULTIPOLYGON (((297022.9336000001 3624372.9968, 297024.0371000003 3624371.9623000007, 297025.9992000004 3624370.1229999997, 297029.97919999994 3624363.7029999997, 297030.2492000004 3624362.6831, 297032.14919999987 3624362.6831, 297032.14919999987 3624362.6313000005, 297029.7599999998 3624360.8900000006, 297031.2792999996 3624358.6800999995, 297029.7391999997 3624357.4530999996, 297030.62370000035 3624356.3222000003, 297028.9391999999 3624355.143100001, 297032.17920000013 3624350.643100001, 297032.2385999998 3624350.6620000005, 297034.5099999998 3624348.4399999995, 297036.65780000016 3624349.9848999996, 297037.1190999998 3624348.4931000005, 297037.0390999997 3624348.4375, 297037.0390999997 3624346.3232000005, 297029.1191999996 3624340.9232, 297026.9592000004 3624345.963199999, 297023.73139999993 3624351.229699999, 297026.20999999996 3624353.51, 297026.36000000034 3624354.26, 297023.11000000034 3624357.960000001, 297019.7599999998 3624357.8599999994, 297018.2599999998 3624359.6099999994, 297018.03610000014 3624359.865, 297020.4792999998 3624362.8830999993, 297017.8770000003 3624366.2288000006, 297022.9336000001 3624372.9968)))";"93";"Calheta";"Calheta";"Ilha da Madeira (Madeira)"
"1746";"7344260";"2976230000000";"123.2544900640256";"340.84672600771296";"MULTIPOLYGON (((296788.1786000002 3623281.2709, 296798.8985000001 3623281.310799999, 296807.22860000003 3623318.1906000003, 296812.5585000003 3623317.7305999994, 296805.49849999975 3623278.8707999997, 296803.9285000004 3623269.060900001, 296798.9285000004 3623272.4608999994, 296788.1786000002 3623281.2709)))";"93";"Calheta";"Calheta";"Ilha da Madeira (Madeira)"
